timestamp,cpu_temp_C,cpu_freq_MHz,throttled,cdsp_state,cdsp_processing_load,cdsp_buffer_level,cdsp_clipped,cdsp_cpu_pct,reaper_cpu_pct,pipewire_cpu_pct,mem_used_MB,mem_available_MB
2026-03-08T17:49:46+01:00,71.1,1500,0x0,ProcessingState.RUNNING,24.53,654,0,24.00,0.00,0.00,1347,2449
2026-03-08T17:49:57+01:00,71.1,1500,0x0,ProcessingState.RUNNING,19.57,681,0,23.00,0.00,0.00,1345,2451
2026-03-08T17:50:08+01:00,72.0,1500,0x0,ProcessingState.RUNNING,25.83,680,0,20.00,0.00,0.00,1352,2444
2026-03-08T17:50:19+01:00,70.6,1500,0x0,ProcessingState.RUNNING,16.48,681,0,24.00,0.00,0.00,1347,2448
2026-03-08T17:50:29+01:00,72.0,1500,0x0,ProcessingState.RUNNING,17.14,703,0,23.00,0.00,0.00,1344,2452
2026-03-08T17:50:40+01:00,71.5,1500,0x0,ProcessingState.RUNNING,25.18,707,0,22.00,0.00,0.00,1342,2453
2026-03-08T17:50:51+01:00,72.5,1500,0x0,ProcessingState.RUNNING,16.82,730,0,22.00,0.00,0.00,1348,2448
2026-03-08T17:51:01+01:00,72.5,1500,0x0,ProcessingState.RUNNING,19.42,723,0,22.00,0.00,0.00,1344,2452
2026-03-08T17:51:12+01:00,71.1,900,0x0,ProcessingState.RUNNING,18.37,769,0,23.00,0.00,0.00,1346,2450
2026-03-08T17:51:23+01:00,71.5,1500,0x0,ProcessingState.RUNNING,24.36,744,0,22.00,0.00,0.00,1345,2451
2026-03-08T17:51:33+01:00,73.0,1500,0x0,ProcessingState.RUNNING,16.70,764,0,23.00,0.00,0.00,1346,2449
2026-03-08T17:51:44+01:00,72.0,1500,0x0,ProcessingState.RUNNING,16.06,765,0,23.00,0.00,0.00,1346,2449
2026-03-08T17:51:55+01:00,73.0,1500,0x0,ProcessingState.RUNNING,16.15,805,0,24.00,0.00,0.00,1349,2447
2026-03-08T17:52:05+01:00,70.6,1500,0x0,ProcessingState.RUNNING,19.88,795,0,23.00,0.00,0.00,1347,2449
2026-03-08T17:52:16+01:00,71.1,1500,0x0,ProcessingState.RUNNING,18.48,818,0,20.79,0.00,0.00,1348,2447
2026-03-08T17:52:27+01:00,72.0,1500,0x0,ProcessingState.RUNNING,16.29,823,0,23.00,0.00,0.00,1348,2447
2026-03-08T17:52:37+01:00,72.5,1500,0x0,ProcessingState.RUNNING,16.76,832,0,21.00,0.00,0.00,1344,2452
2026-03-08T17:52:48+01:00,72.5,1500,0x0,ProcessingState.RUNNING,16.67,844,0,23.00,0.00,0.00,1349,2447
2026-03-08T17:52:59+01:00,71.5,1500,0x0,ProcessingState.RUNNING,16.35,846,0,23.00,0.00,0.00,1350,2446
2026-03-08T17:53:09+01:00,72.0,1500,0x0,ProcessingState.RUNNING,20.41,845,0,23.00,0.00,0.00,1344,2452
2026-03-08T17:53:20+01:00,72.0,1500,0x0,ProcessingState.RUNNING,16.67,865,0,24.00,0.00,0.00,1344,2452
2026-03-08T17:53:31+01:00,73.0,1500,0x0,ProcessingState.RUNNING,19.04,861,0,23.00,0.00,0.00,1347,2448
2026-03-08T17:53:41+01:00,72.0,1500,0x0,ProcessingState.RUNNING,16.35,858,0,21.00,0.00,0.00,1349,2447
2026-03-08T17:53:52+01:00,72.0,1500,0x0,ProcessingState.RUNNING,18.01,863,0,22.00,0.00,0.00,1349,2446
2026-03-08T17:54:03+01:00,71.5,1500,0x0,ProcessingState.RUNNING,17.55,870,0,24.00,0.00,0.00,1345,2450
2026-03-08T17:54:13+01:00,72.0,1500,0x0,ProcessingState.RUNNING,17.64,875,0,22.00,0.00,0.00,1345,2451
2026-03-08T17:54:24+01:00,72.0,1500,0x0,ProcessingState.RUNNING,17.38,874,0,22.00,0.00,0.00,1346,2449
2026-03-08T17:54:35+01:00,73.0,1500,0x0,ProcessingState.RUNNING,18.59,896,0,23.00,0.00,0.00,1350,2446
2026-03-08T17:54:45+01:00,71.1,1500,0x0,ProcessingState.RUNNING,18.77,906,0,25.00,0.00,0.00,1347,2449
2026-03-08T17:54:56+01:00,72.0,900,0x0,ProcessingState.RUNNING,17.43,899,0,23.00,0.00,0.00,1346,2450
2026-03-08T17:55:07+01:00,72.0,1500,0x0,ProcessingState.RUNNING,44.71,903,0,23.00,0.00,0.00,1346,2450
2026-03-08T17:55:18+01:00,72.5,1500,0x0,ProcessingState.RUNNING,15.34,912,0,21.00,0.00,0.00,1341,2455
2026-03-08T17:55:28+01:00,73.0,1500,0x0,ProcessingState.RUNNING,16.87,913,0,21.00,0.00,0.00,1350,2445
2026-03-08T17:55:39+01:00,73.0,1500,0x0,ProcessingState.RUNNING,23.37,911,0,23.00,0.00,0.00,1345,2451
2026-03-08T17:55:50+01:00,72.0,1500,0x0,ProcessingState.RUNNING,24.56,922,0,23.00,0.00,0.00,1348,2448
2026-03-08T17:56:00+01:00,72.5,1500,0x0,ProcessingState.RUNNING,29.17,932,0,24.00,0.00,0.00,1345,2451
2026-03-08T17:56:11+01:00,72.0,1500,0x0,ProcessingState.RUNNING,18.39,935,0,22.00,0.00,0.00,1347,2448
2026-03-08T17:56:22+01:00,72.0,1500,0x0,ProcessingState.RUNNING,18.50,929,0,21.00,0.00,0.00,1349,2447
