timestamp,cpu_temp_C,cpu_freq_MHz,throttled,cdsp_state,cdsp_processing_load,cdsp_buffer_level,cdsp_clipped,cdsp_cpu_pct,reaper_cpu_pct,pipewire_cpu_pct,mem_used_MB,mem_available_MB
2026-03-08T19:25:59+01:00,72.0,1500,0x0,ProcessingState.RUNNING,18.44,480,0,23.00,0.00,0.00,1367,2429
2026-03-08T19:26:10+01:00,73.0,1500,0x0,ProcessingState.RUNNING,18.39,472,0,22.00,0.00,0.00,1373,2423
2026-03-08T19:26:21+01:00,72.5,1500,0x0,ProcessingState.RUNNING,15.32,479,0,21.00,0.00,0.00,1370,2426
2026-03-08T19:26:31+01:00,71.5,1500,0x0,ProcessingState.RUNNING,19.41,488,0,23.00,0.00,0.00,1364,2432
2026-03-08T19:26:42+01:00,72.5,1500,0x0,ProcessingState.RUNNING,18.99,481,0,22.00,0.00,0.00,1372,2424
2026-03-08T19:26:52+01:00,73.0,1500,0x0,ProcessingState.RUNNING,19.72,483,0,22.00,0.00,0.00,1370,2426
2026-03-08T19:27:03+01:00,74.0,1500,0x0,ProcessingState.RUNNING,22.74,496,0,22.00,0.00,0.00,1367,2429
2026-03-08T19:27:14+01:00,72.0,1500,0x0,ProcessingState.RUNNING,16.12,485,0,21.00,0.00,0.00,1370,2425
2026-03-08T19:27:24+01:00,72.0,1500,0x0,ProcessingState.RUNNING,18.69,481,0,23.00,0.00,0.00,1363,2432
2026-03-08T19:27:35+01:00,72.5,1500,0x0,ProcessingState.RUNNING,19.32,483,0,21.00,0.00,0.00,1372,2424
2026-03-08T19:27:46+01:00,73.5,1500,0x0,ProcessingState.RUNNING,22.77,490,0,22.00,0.00,0.00,1370,2426
2026-03-08T19:27:56+01:00,72.0,1500,0x0,ProcessingState.RUNNING,18.86,480,0,22.00,0.00,0.00,1370,2425
2026-03-08T19:28:07+01:00,73.0,1500,0x0,ProcessingState.RUNNING,15.54,492,0,21.00,0.00,0.00,1364,2432
2026-03-08T19:28:18+01:00,72.0,1500,0x0,ProcessingState.RUNNING,14.84,484,0,22.77,0.00,0.00,1363,2433
2026-03-08T19:28:28+01:00,72.0,1500,0x0,ProcessingState.RUNNING,17.60,493,0,21.00,0.00,0.00,1369,2427
2026-03-08T19:28:39+01:00,73.5,1500,0x0,ProcessingState.RUNNING,17.28,490,0,22.00,0.00,0.00,1375,2421
2026-03-08T19:28:49+01:00,73.0,1500,0x0,ProcessingState.RUNNING,16.23,504,0,21.00,0.00,0.00,1367,2428
2026-03-08T19:29:00+01:00,72.5,1500,0x0,ProcessingState.RUNNING,16.01,503,0,21.00,0.00,0.00,1372,2423
2026-03-08T19:29:11+01:00,73.5,1500,0x0,ProcessingState.RUNNING,17.22,492,0,22.00,0.00,0.00,1367,2428
2026-03-08T19:29:21+01:00,72.5,1500,0x0,ProcessingState.RUNNING,24.98,509,0,24.00,0.00,0.00,1364,2431
2026-03-08T19:29:32+01:00,73.5,1500,0x0,ProcessingState.RUNNING,17.92,508,0,21.00,0.00,0.00,1372,2424
